Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Apollo Hospitals","https://scanx.trade/company/apollo-hospitals-ltd","7,901.50","0.87%","7,850.00","6,10,960","1,12,633.70","69.74","33.16","7,980.00","6,001.00","0.17%","7.50%","13.05%","84.15%","257.19%","13.86","0.16%","12.53%","15.53%","72.05","7,691.36","7,093.88","64.47","75.00%","91.00%"
"Polycab","https://scanx.trade/company/polycab-india-ltd","7,439.50","-1.83%","7,593.00","11,13,487","1,11,986.80","44.91","25.63","7,794.50","4,555.00","1.09%","8.04%","4.48%","184.08%","825.02%","11.39","0.47%","21.87%","27.96%","118.40","7,281.04","6,308.18","48.98","74.12%","80.00%"
"Siemens Energy","https://scanx.trade/company/siemens-energy-ltd","3,116.70","-0.74%","3,145.80","2,08,531","1,11,818.30","113.01","7.04","3,625.00","2,508.80","-10.94%","2.05%","13.96%","13.96%","13.96%","29.32","-","-","12.93%","-","3,339.19","-","33.77","-","75.00%"
"Swiggy","https://scanx.trade/company/swiggy-ltd","432.15","-3.62%","447.00","1,84,30,213","1,11,815.10","-29.09","22.25","617.30","297.00","-2.00%","12.06%","-5.23%","-5.23%","-5.23%","10.52","-","-","-25.96%","-","424.82","390.25","50.90","65.00%","75.00%"
"Hero Motocorp","https://scanx.trade/company/hero-motocorp-ltd","5,592.50","0.23%","5,582.00","4,35,204","1,11,627.90","22.16","53.11","5,659.00","3,344.00","4.53%","25.86%","7.19%","119.00%","72.15%","5.81","2.95%","20.98%","28.71%","204.10","5,246.36","4,359.88","64.34","76.00%","80.00%"
"Siemens","https://scanx.trade/company/siemens-ltd","3,121.20","0.07%","3,115.00","2,21,425","1,11,074.00","45.37","28.99","3,994.91","2,269.90","-6.06%","0.35%","-18.65%","128.68%","391.75%","9.02","0.38%","14.98%","22.43%","68.99","3,162.90","2,993.33","44.89","74.98%","80.00%"
"ABB","https://scanx.trade/company/abb-ltd","5,202.00","-0.19%","5,208.50","1,45,812","1,10,446.60","61.36","28.99","8,871.30","4,684.45","-3.41%","-7.73%","-40.14%","62.74%","480.29%","15.31","0.85%","21.00%","35.54%","75.95","5,167.71","5,589.97","49.59","75.96%","80.00%"
"Cummins","https://scanx.trade/company/cummins-india-ltd","3,974.90","0.87%","3,952.50","2,49,277","1,09,233.40","51.48","108.13","4,168.70","2,580.00","-3.65%","10.88%","7.66%","235.18%","744.20%","14.58","1.30%","26.02%","32.98%","66.04","3,918.30","3,286.08","53.66","76.00%","80.00%"
"Shree Cement","https://scanx.trade/company/shree-cement-ltd","29,690.00","-1.07%","29,975.00","16,520","1,08,278.30","71.96","36.76","32,490.00","23,500.00","0.02%","-3.74%","22.46%","42.53%","40.70%","4.98","0.37%","11.55%","6.67%","582.58","29,904.30","29,315.68","50.17","78.00%","80.00%"
"Union Bank of India","https://scanx.trade/company/union-bank-of-india-ltd","136.69","-1.53%","138.81","75,84,213","1,05,962.10","5.55","9.81","158.65","100.81","-0.25%","-6.58%","22.56%","211.01%","474.33%","0.96","3.47%","14.05%","6.23%","18.56","134.59","129.50","49.49","73.93%","80.00%"
"Indian Hotels Company","https://scanx.trade/company/indian-hotels-company-ltd","735.40","-0.36%","739.05","19,15,423","1,05,056.40","49.70","327.73","894.90","649.00","-5.75%","-2.46%","7.00%","131.08%","681.09%","9.38","0.31%","11.86%","17.74%","9.03","756.49","770.82","46.56","76.00%","80.00%"
"Jindal Steel","https://scanx.trade/company/jindal-steel-ltd","1,007.60","-1.49%","1,022.80","15,30,004","1,04,334.60","34.22","26.31","1,087.60","723.35","-2.52%","6.01%","8.34%","129.13%","399.55%","2.18","0.20%","13.28%","8.16%","54.82","1,019.11","936.57","45.01","76.00%","80.00%"
"Waaree Energies","https://scanx.trade/company/waaree-energies-ltd","3,535.30","-2.54%","3,650.00","53,53,015","1,04,209.10","36.29","28.99","3,865.00","1,863.00","-1.90%","10.27%","51.15%","51.15%","51.15%","8.86","-","-","24.78%","-","3,324.74","2,802.44","57.15","50.00%","75.00%"
"Indian Bank","https://scanx.trade/company/indian-bank-ltd","782.35","1.47%","783.00","28,15,481","1,03,857.70","9.35","9.81","805.95","473.90","11.17%","22.64%","52.56%","282.66%","1,212.67%","1.51","2.08%","13.49%","5.89%","67.86","701.35","602.32","69.63","75.78%","80.00%"
"Dr Reddys Laboratories","https://scanx.trade/company/dr-reddys-laboratories-ltd","1,255.90","1.27%","1,245.00","14,73,018","1,03,508.80","18.25","55.26","1,405.90","1,020.00","-4.23%","-0.57%","-6.33%","44.85%","24.15%","3.12","0.64%","19.74%","21.88%","333.59","1,262.87","1,240.32","48.97","78.00%","91.00%"
"BSE","https://scanx.trade/company/bse-ltd","2,485.60","-0.94%","2,512.00","39,65,773","1,02,199.50","63.33","22.25","3,030.00","1,227.32","12.48%","0.43%","75.14%","1,166.81%","4,216.78%","22.85","0.31%","22.34%","30.53%","44.38","2,278.68","2,162.13","67.20","65.00%","77.32%"
"Dixon Technologies","https://scanx.trade/company/dixon-technologies-ltd","16,700.00","-0.85%","16,875.00","1,46,016","1,01,929.20","73.55","15.29","19,148.90","12,202.20","-7.79%","3.68%","10.37%","290.14%","774.01%","33.54","0.05%","19.86%","41.33%","72.30","17,192.52","15,707.43","42.75","70.00%","80.00%"
"Mankind Pharma","https://scanx.trade/company/mankind-pharma-ltd","2,476.60","0.87%","2,470.40","4,61,454","1,01,344.60","53.48","55.26","3,054.80","2,115.10","-3.64%","-6.16%","-7.72%","74.13%","74.13%","7.14","-","20.28%","13.33%","48.99","2,516.92","2,484.28","47.04","75.00%","80.00%"
"ICICI Lombard General Insurance","https://scanx.trade/company/icici-lombard-general-insurance-ltd","2,001.00","-0.45%","1,996.50","3,55,745","99,990.50","35.57","24.21","2,094.35","1,613.70","6.89%","2.67%","-1.93%","76.71%","59.56%","6.23","0.62%","15.72%","-8.50%","42.73","1,893.49","1,864.67","64.15","78.00%","80.00%"
"Zydus Life Science","https://scanx.trade/company/cadila-healthcare-ltd","987.65","0.31%","984.00","7,45,052","99,073.80","21.09","55.26","1,059.05","795.00","-4.46%","0.50%","-3.25%","135.80%","133.65%","4.15","1.11%","17.34%","21.99%","41.43","998.72","950.14","45.37","76.00%","80.00%"
"United Spirits","https://scanx.trade/company/united-spirits-ltd","1,361.40","0.17%","1,358.60","5,60,298","98,854.30","65.36","54.20","1,700.00","1,271.10","1.82%","-1.35%","-10.91%","64.87%","164.74%","12.21","0.88%","19.77%","26.08%","19.42","1,322.98","1,418.07","57.80","76.00%","80.00%"
"REC","https://scanx.trade/company/rural-electrification-corporation-ltd","374.95","-0.68%","378.00","79,35,534","98,732.70","5.84","-83.00","573.30","348.60","-2.46%","-6.54%","-30.87%","309.11%","420.76%","1.27","4.80%","20.40%","9.48%","55.59","375.42","407.78","49.12","72.32%","80.00%"
"IDBI Bank","https://scanx.trade/company/idbi-bank-ltd","91.72","-0.64%","92.89","44,62,364","98,621.00","12.42","13.73","106.32","65.89","-1.32%","-7.98%","13.01%","114.05%","142.65%","1.93","2.29%","11.35%","5.31%","5.85","91.38","86.13","48.48","60.00%","75.00%"
"Hindustan Petroleum","https://scanx.trade/company/hindustan-petroleum-ltd","448.60","-0.74%","453.00","32,62,100","96,166.90","9.35","5.40","465.20","287.55","10.59%","1.95%","3.52%","232.72%","282.67%","1.87","2.34%","34.13%","12.56%","46.45","412.95","389.13","61.51","74.69%","80.00%"
"GMR Airports","https://scanx.trade/company/gmr-infrastructure-ltd","90.15","-0.79%","90.81","56,75,574","95,949.40","-155.36","22.25","97.00","67.75","-1.88%","-4.78%","4.11%","158.68%","283.62%","-31.90","-","-86.69%","7.69%","-","89.03","83.25","53.34","75.00%","60.00%"
"Vodafone Idea","https://scanx.trade/company/vodafone-idea-ltd","8.70","-1.69%","8.85","46,85,90,807","95,883.60","-3.43","23.52","10.47","6.12","11.97%","12.11%","-3.87%","3.57%","9.43%","-1.34","-","29.99%","-1.99%","-","7.62","7.61","55.59","65.99%","60.00%"
"SRF","https://scanx.trade/company/srf-ltd","3,169.40","-0.65%","3,200.50","1,66,406","94,559.50","65.65","25.66","3,325.00","2,126.85","7.51%","-1.03%","40.06%","24.24%","256.06%","7.44","0.23%","11.64%","12.90%","41.45","2,929.75","2,912.47","73.26","76.00%","80.00%"
"JSW Energy","https://scanx.trade/company/jsw-energy-ltd","540.80","-1.42%","550.00","33,99,859","94,519.30","41.37","7.04","776.90","418.75","1.08%","1.73%","-20.07%","66.73%","762.52%","3.45","0.37%","8.21%","5.73%","11.18","528.33","517.63","53.18","72.61%","80.00%"
"Marico","https://scanx.trade/company/marico-ltd","735.15","1.30%","728.50","17,07,666","94,191.10","56.23","8.75","759.00","577.85","3.27%","0.25%","10.37%","43.04%","101.69%","24.00","1.42%","36.03%","36.91%","11.73","719.40","689.75","63.85","78.00%","80.00%"
"Havells","https://scanx.trade/company/havells-india-ltd","1,491.50","1.06%","1,476.90","9,05,801","92,563.10","66.33","28.99","1,946.05","1,381.30","-6.40%","-2.68%","-17.39%","21.06%","111.26%","11.24","0.67%","17.06%","22.51%","22.20","1,532.32","1,544.31","44.16","78.00%","80.00%"
"Bajaj Housing Finance","https://scanx.trade/company/bajaj-housing-finance-ltd","109.43","-0.55%","109.49","28,01,951","91,689.00","40.24","17.41","147.70","103.10","-5.25%","-10.76%","-20.83%","-33.68%","-33.68%","4.57","-","-","8.84%","-","112.08","117.58","42.45","70.00%","75.00%"
"Persistent Systems","https://scanx.trade/company/persistent-systems-ltd","5,755.70","-1.47%","5,800.00","4,69,353","91,361.10","54.53","30.42","6,788.90","4,148.95","3.98%","4.75%","3.97%","217.24%","815.42%","12.70","0.60%","22.06%","28.61%","76.02","5,291.97","5,551.25","66.56","75.19%","80.00%"
"Indus Towers","https://scanx.trade/company/bharti-infratel-ltd","343.00","-0.28%","345.00","57,54,532","90,739.60","9.49","22.21","430.00","312.55","-3.18%","-15.57%","-10.85%","81.91%","89.40%","2.84","-","22.32%","28.12%","24.54","346.27","364.42","42.74","75.51%","80.00%"
"Lupin","https://scanx.trade/company/lupin-ltd","1,940.00","-0.57%","1,960.00","8,69,998","89,121.90","23.79","55.26","2,402.90","1,795.20","-4.49%","-0.80%","-10.86%","180.89%","91.28%","5.15","0.62%","13.47%","21.29%","49.64","1,958.73","2,008.47","46.82","76.00%","80.00%"
"SBI Cards","https://scanx.trade/company/sbi-cards-ltd","927.00","-0.84%","931.05","2,92,090","88,955.10","46.95","24.21","1,027.25","659.80","3.77%","2.00%","25.27%","7.98%","4.96%","6.40","0.27%","19.93%","20.03%","25.33","852.07","858.92","66.54","76.00%","80.00%"
"Dabur India","https://scanx.trade/company/dabur-india-ltd","508.35","1.52%","500.60","34,36,032","88,817.50","51.43","16.80","579.10","433.30","-5.01%","-3.85%","-11.21%","-4.08%","-2.11%","8.35","1.57%","17.58%","20.32%","10.60","516.19","503.50","52.83","78.00%","80.00%"
"Bharti Hexacom","https://scanx.trade/company/bharti-hexacom-ltd","1,816.20","3.76%","1,750.40","3,15,890","87,520.00","66.09","23.52","2,052.90","1,234.00","5.21%","0.88%","21.04%","123.31%","123.31%","15.31","0.55%","10.87%","20.12%","8.38","1,742.36","1,620.72","60.76","60.00%","75.00%"
"Info Edge","https://scanx.trade/company/naukri-info-edge-ltd","1,328.30","-1.50%","1,345.20","9,04,220","87,439.50","61.79","22.25","1,825.78","1,157.00","-3.40%","-3.70%","-16.77%","75.26%","91.06%","2.47","0.45%","1.88%","4.80%","53.82","1,358.06","1,432.21","44.48","75.95%","80.00%"
"NHPC","https://scanx.trade/company/nhpc-ltd","86.74","-0.24%","86.91","3,03,86,236","87,341.60","25.30","7.04","92.34","71.00","-0.54%","-1.25%","2.11%","120.43%","333.70%","2.20","2.20%","8.28%","6.14%","3.60","83.67","82.67","55.37","75.25%","80.00%"
"ICICI Prudential Life Insurance","https://scanx.trade/company/icici-prudential-life-insurance-ltd","595.75","1.49%","588.05","14,04,254","84,923.20","65.96","24.21","776.85","525.80","-0.72%","-7.33%","-18.96%","16.88%","40.76%","6.80","0.14%","7.73%","0.44%","6.03","605.79","609.87","47.87","76.00%","80.00%"
"NTPC Green Energy","https://scanx.trade/company/ntpc-green-energy-ltd","100.01","0.05%","99.20","30,14,674","84,229.60","151.52","7.04","155.35","84.55","-3.91%","-10.71%","-17.79%","-17.79%","-17.79%","4.57","-","-","3.47%","-","101.80","105.67","47.80","70.00%","75.00%"
"Fortis Healthcare","https://scanx.trade/company/fortis-healthcare-ltd","1,084.90","-0.94%","1,095.00","20,88,011","82,686.80","90.81","33.16","1,103.15","572.00","12.71%","33.90%","79.75%","298.71%","754.93%","9.19","0.09%","7.54%","9.86%","8.50","969.94","765.92","68.38","75.00%","80.00%"
"Bharat Heavy Electricals","https://scanx.trade/company/bhel-bharat-heavy-electricals-ltd","232.62","-1.50%","235.60","32,38,488","82,235.90","280.36","28.99","272.10","176.00","-0.73%","-8.15%","-8.49%","269.53%","711.94%","3.28","0.21%","1.15%","3.75%","0.29","227.61","227.01","46.98","72.83%","80.00%"
"One 97 Communications","https://scanx.trade/company/paytm-ltd","1,285.30","0.89%","1,269.90","35,03,412","81,365.70","274.65","22.25","1,305.00","651.50","5.17%","28.61%","84.63%","91.11%","-17.65%","5.47","-","-13.67%","-4.12%","-","1,204.79","948.03","65.60","68.53%","70.00%"
"Ashok Leyland","https://scanx.trade/company/ashok-leyland-ltd","134.51","-1.99%","137.35","1,51,68,999","80,607.30","22.64","540.10","144.50","95.93","-1.65%","8.69%","22.53%","81.70%","261.29%","6.46","2.32%","22.82%","15.46%","8.52","133.41","117.89","43.94","76.00%","80.00%"
"Hitachi Energy","https://scanx.trade/company/abb-power-products-systems-ltd","17,439.00","-1.47%","17,750.00","60,909","78,893.10","153.79","28.99","21,800.00","8,801.00","-13.28%","-10.52%","10.35%","417.62%","1,762.05%","18.44","0.03%","12.04%","13.08%","40.53","19,155.28","16,127.02","35.52","50.00%","79.99%"
"Aditya Birla Capital","https://scanx.trade/company/aditya-birla-capital-ltd","299.30","-0.23%","300.00","22,65,020","78,373.10","22.44","24.21","307.80","149.01","5.41%","11.26%","36.99%","171.11%","393.89%","2.57","-","12.01%","9.58%","13.24","287.29","226.33","55.77","76.00%","80.00%"
"PB FinTech","https://scanx.trade/company/policy-bazaar-ltd","1,646.90","-2.61%","1,689.10","29,26,578","77,660.40","200.29","16.13","2,246.90","1,311.35","-8.25%","-8.01%","-2.26%","286.14%","36.98%","11.77","-","-8.90%","6.22%","2.28","1,788.22","1,732.42","35.49","70.00%","75.00%"
"Indian Overseas Bank","https://scanx.trade/company/indian-overseas-bank-ltd","38.83","-2.36%","40.35","1,31,14,301","76,583.50","16.96","9.81","59.94","33.50","-4.31%","-2.51%","-30.62%","125.76%","317.53%","2.42","-","9.67%","5.53%","1.49","38.72","41.23","46.72","64.04%","80.00%"
"Oracle Financial Services Software","https://scanx.trade/company/oracle-financial-services-software-ltd","8,780.50","-0.18%","8,810.50","1,21,533","76,312.70","31.75","30.42","13,220.00","7,038.00","-3.78%","0.41%","-23.66%","198.63%","165.85%","9.13","3.01%","28.24%","36.86%","269.28","8,761.22","8,864.57","46.29","75.09%","80.00%"
"Nykaa","https://scanx.trade/company/nykaa-ltd","261.14","-0.82%","261.30","71,94,337","75,319.20","900.69","34.94","268.25","154.90","7.62%","20.08%","40.22%","35.01%","-28.97%","57.43","-","1.78%","12.91%","0.14","236.99","199.05","62.27","75.00%","75.00%"
"GE Vernova T&D","https://scanx.trade/company/ge-td-india-ltd","2,959.60","1.43%","2,933.00","3,20,274","74,711.80","99.04","28.99","3,204.90","1,254.00","-1.11%","22.44%","64.12%","64.12%","64.12%","42.73","0.17%","-","44.57%","-","2,885.75","2,138.13","50.17","60.00%","70.00%"
"Suzlon Energy","https://scanx.trade/company/suzlon-ltd","52.92","-1.29%","53.61","17,36,63,310","73,491.40","34.35","28.99","75.45","46.15","-10.74%","-20.13%","-27.52%","610.34%","1,889.47%","11.81","-","262.69%","24.15%","0.68","57.54","58.86","31.85","50.00%","75.00%"
"Prestige Estates Projects","https://scanx.trade/company/prestige-estate-ltd","1,706.20","0.55%","1,680.80","8,66,730","73,090.60","118.05","0.52","1,900.00","1,048.05","3.14%","-4.32%","-4.87%","294.00%","561.19%","4.76","0.11%","10.40%","8.96%","33.42","1,591.98","1,467.30","67.18","72.15%","80.00%"
"UNO Minda","https://scanx.trade/company/minda-industries-ltd","1,217.80","-1.41%","1,235.20","8,73,493","71,136.50","62.64","79.58","1,382.00","767.60","-6.57%","9.04%","27.05%","123.08%","652.80%","12.25","0.18%","17.56%","19.22%","15.45","1,255.62","1,052.28","42.64","70.00%","70.00%"
"Rail Vikas Nigam","https://scanx.trade/company/rail-vikas-nigam-ltd","331.65","-1.31%","335.00","36,82,969","70,067.10","57.99","0.52","514.65","301.60","-8.08%","-13.06%","-32.26%","777.38%","1,678.28%","7.23","0.52%","19.39%","14.76%","6.98","337.29","370.28","40.90","67.60%","80.00%"
"Yes Bank","https://scanx.trade/company/yes-bank-ltd","22.25","-3.76%","23.13","19,91,36,558","69,800.20","25.56","13.73","24.30","16.02","5.20%","10.48%","6.46%","41.27%","72.48%","1.46","-","3.05%","5.95%","0.46","20.67","19.36","54.03","70.00%","75.00%"
"Lloyds Metals & Energy","https://scanx.trade/company/lloyds-metals-energy-ltd","1,323.40","0.06%","1,324.00","1,85,224","69,628.00","45.40","20.31","1,612.00","907.95","-1.26%","-10.10%","32.16%","134.94%","134.94%","12.26","0.08%","44.22%","26.34%","26.73","1,330.56","1,331.79","51.11","50.00%","65.00%"
"Vishal Mega Mart","https://scanx.trade/company/vishal-mega-mart-ltd","148.43","-0.02%","147.20","68,85,053","69,346.70","100.92","34.94","157.60","95.99","-0.09%","8.40%","32.61%","32.61%","32.61%","10.70","-","-","13.04%","-","148.29","124.79","51.07","65.00%","70.00%"
"Adani Total Gas","https://scanx.trade/company/adani-gas-ltd","619.80","-0.30%","622.15","14,23,512","68,369.70","105.29","22.25","862.00","532.60","2.10%","-6.33%","-15.68%","-80.00%","233.41%","16.21","0.04%","18.64%","15.92%","6.27","621.77","632.85","46.26","70.30%","70.00%"
"Oil India","https://scanx.trade/company/oil-india-ltd","408.90","-2.00%","415.85","34,56,903","67,870.20","9.41","-216.17","546.95","325.00","1.33%","-8.41%","-22.13%","232.44%","588.04%","1.34","2.81%","23.55%","11.77%","51.54","408.40","416.74","46.67","72.79%","80.00%"
"GIC of India","https://scanx.trade/company/general-insurance-corporation-of-india-ltd","383.60","-0.72%","382.55","10,21,421","67,790.00","7.86","24.21","525.50","347.00","4.85%","-0.84%","-2.35%","212.51%","205.05%","1.38","2.61%","14.56%","-53.04%","40.52","375.03","396.78","57.91","64.68%","80.00%"
"Torrent Power","https://scanx.trade/company/torrent-power-ltd","1,311.80","-1.93%","1,335.60","3,14,876","67,402.10","23.57","7.04","2,037.00","1,188.00","3.65%","-5.34%","-32.37%","171.99%","331.23%","3.75","1.45%","15.05%","14.83%","47.61","1,276.84","1,381.94","59.58","73.97%","80.00%"
"L&T Finance","https://scanx.trade/company/lt-finance-holdings-ltd","266.26","-1.09%","270.95","38,44,212","67,294.00","24.71","24.21","273.57","129.20","9.62%","33.28%","60.00%","244.23%","352.21%","2.53","1.03%","9.85%","10.60%","9.93","234.69","183.37","63.91","75.00%","80.00%"
"NMDC","https://scanx.trade/company/nmdc-ltd","74.91","-1.28%","75.90","1,04,35,903","66,712.30","10.08","20.31","82.83","59.53","-1.03%","7.69%","0.32%","138.80%","276.81%","2.22","4.41%","24.47%","29.74%","20.82","74.09","69.13","46.11","75.15%","80.00%"
"Jindal Stainless","https://scanx.trade/company/jsl-jindal-stainless-ltd","791.60","-2.14%","808.00","5,45,274","66,634.70","25.42","26.31","818.95","496.60","4.08%","16.61%","4.09%","510.57%","1,223.75%","3.91","0.38%","17.41%","17.24%","30.84","761.78","668.87","56.41","70.00%","75.00%"
"Godrej Properties","https://scanx.trade/company/godrej-properties-ltd","2,236.20","1.40%","2,206.00","13,77,946","66,425.00","45.86","0.52","3,239.65","1,900.00","7.43%","-4.31%","-27.49%","88.40%","148.20%","3.89","-","7.25%","8.74%","40.29","2,029.90","2,172.29","67.87","73.82%","80.00%"
